idx;id;sci_name;com_name;class;order
3141;10550;Myiagra nana;Paperbark Flycatcher;Aves;Passeriformes
3142;10553;Myiagra rubecula;Leaden Flycatcher;Aves;Passeriformes
3143;10560;Myiarchus cinerascens;Ash-throated Flycatcher;Aves;Passeriformes
3144;10561;Myiarchus crinitus;Great Crested Flycatcher;Aves;Passeriformes
3145;10562;Myiarchus ferox;Short-crested Flycatcher;Aves;Passeriformes
3146;10565;Myiarchus nuttingi;Nutting's Flycatcher;Aves;Passeriformes
3147;10567;Myiarchus panamensis;Panama Flycatcher;Aves;Passeriformes
3148;10569;Myiarchus sagrae;La Sagra's Flycatcher;Aves;Passeriformes
3149;10572;Myiarchus swainsoni;Swainson's Flycatcher;Aves;Passeriformes
3150;10573;Myiarchus tuberculifer;Dusky-capped Flycatcher;Aves;Passeriformes
3151;10574;Myiarchus tyrannulus;Brown-crested Flycatcher;Aves;Passeriformes
3152;10587;Myioborus miniatus;Slate-throated Whitestart;Aves;Passeriformes
3153;10590;Myioborus pictus;Painted Whitestart;Aves;Passeriformes
3154;10595;Myiodynastes luteiventris;Sulphur-bellied Flycatcher;Aves;Passeriformes
3155;10596;Myiodynastes maculatus;Streaked Flycatcher;Aves;Passeriformes
3156;10599;Myiomela leucura;White-tailed Robin;Aves;Passeriformes
3157;10602;Myiopagis caniceps;Grey-headed Elaenia;Aves;Passeriformes
3158;10607;Myiopagis gaimardii;Forest Elaenia;Aves;Passeriformes
3159;10610;Myiopagis viridicata;Greenish Elaenia;Aves;Passeriformes
3160;10612;Myiophobus fasciatus;Bran-colored Flycatcher;Aves;Passeriformes
3161;10623;Myiopsitta monachus;Monk Parakeet;Aves;Psittaciformes
3162;10626;Myiornis auricularis;Eared Pygmy Tyrant;Aves;Passeriformes
3163;10627;Myiornis ecaudatus;Short-tailed Pygmy Tyrant;Aves;Passeriformes
3164;10640;Myiothlypis flaveola;Flavescent Warbler;Aves;Passeriformes
3165;10642;Myiothlypis fulvicauda;Buff-rumped Warbler;Aves;Passeriformes
3166;10644;Myiothlypis leucoblephara;White-rimmed Warbler;Aves;Passeriformes
